epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5513,1.96624,7.98374,0.53746,2.54729,2.40349,0.05573,0.32378,0.04019,0.00846,0,0,0,0,2.59388,10.5841,0.84389,7.17584,4.22087,0.0702143,0.00330952,0.00330952
2,62.5984,1.90974,7.95917,0.51924,2.43346,2.35475,0.0138,0.20455,0.01035,0.00287,0,0,0,0,2.64502,10.4874,0.68846,41.1049,3.99025,0.0401814,0.00660997,0.00660997
3,80.473,1.90354,7.88805,0.50862,2.42282,2.32312,0.14653,0.44406,0.12049,0.03385,0,0,0,0,2.22853,10.031,0.63684,3.53786,3.07962,0.0101155,0.00987743,0.00987743
4,99.3485,1.82577,7.86328,0.51048,2.34502,2.26707,0.22638,0.44307,0.2052,0.07612,0.00105,0.00769,4e-05,0,1.95516,10.0761,0.67533,2.79513,2.83906,0.0098515,0.0098515,0.0098515
5,118.085,1.8081,7.82768,0.502,2.29101,2.23374,0.38048,0.57448,0.3688,0.14069,3e-05,0.00455,2e-05,0,1.93853,9.84735,0.62271,2.24845,2.71413,0.009802,0.009802,0.009802
6,135.876,1.78309,7.84657,0.48947,2.2523,2.20153,0.27948,0.52832,0.25113,0.08593,0,0,0,0,2.18249,10.042,0.70685,2.72971,3.17122,0.0097525,0.0097525,0.0097525
7,153.516,1.74354,7.80704,0.49827,2.22982,2.17271,0.32246,0.52552,0.29283,0.09816,0,0,0,0,2.1958,9.9484,0.62883,2.19445,3.06946,0.009703,0.009703,0.009703
8,171.028,1.75334,7.73576,0.49616,2.18489,2.18011,0.10247,0.58427,0.08479,0.03339,0,0,0,0,1.87667,9.84501,0.69363,3.32003,2.60084,0.0096535,0.0096535,0.0096535
9,188.874,1.74931,7.97585,0.49725,2.16467,2.15487,0.30792,0.52168,0.29304,0.10215,4e-05,0.00455,2e-05,0,2.17662,10.0224,0.65658,2.25897,3.07627,0.009604,0.009604,0.009604
10,208.328,1.7395,7.67199,0.48737,2.18001,2.16495,0.29765,0.5158,0.29514,0.09317,0,0,0,0,2.12911,9.85111,0.58894,2.33005,2.83683,0.0095545,0.0095545,0.0095545
11,227.523,1.72165,7.87642,0.48613,2.15002,2.12605,0.27085,0.65944,0.35544,0.1337,0,0,0,0,1.86926,9.80694,0.5934,2.21457,2.65288,0.009505,0.009505,0.009505
12,245.208,1.70468,7.80054,0.49023,2.10416,2.12984,0.33368,0.59813,0.34012,0.13496,0,0,0,0,2.06897,9.77133,0.61829,2.2413,2.83036,0.0094555,0.0094555,0.0094555
13,263.174,1.68093,7.68014,0.47978,2.06857,2.1032,0.34453,0.6415,0.35868,0.14473,7e-05,0.00769,5e-05,0,1.86243,9.65492,0.64671,2.03067,2.57268,0.009406,0.009406,0.009406
14,281.427,1.66824,7.60967,0.47626,2.10546,2.09676,0.34484,0.64265,0.32872,0.11198,0.00216,0.00455,5e-05,1e-05,2.19224,9.70643,0.59952,1.97181,3.03378,0.0093565,0.0093565,0.0093565
15,299.242,1.68866,7.68112,0.47851,2.07988,2.11534,0.30226,0.4499,0.26951,0.10248,0.00537,0.00769,0.0002,6e-05,2.00079,9.81303,0.57894,2.31718,2.7521,0.009307,0.009307,0.009307
16,317.371,1.6867,7.73456,0.47502,2.06248,2.11167,0.33247,0.58951,0.35695,0.13875,0.00579,0.00769,0.00019,3e-05,1.94547,9.66006,0.59883,2.1175,2.68953,0.0092575,0.0092575,0.0092575
17,337.317,1.63373,7.68201,0.47548,2.03755,2.07895,0.33449,0.5973,0.34916,0.12185,3e-05,0.00455,1e-05,0,2.06523,9.64669,0.56873,2.20487,2.80905,0.009208,0.009208,0.009208
18,355.127,1.64468,7.68582,0.48149,2.0642,2.07152,0.37078,0.59512,0.42122,0.16148,0,0,0,0,1.92938,9.663,0.5776,1.98473,2.62417,0.0091585,0.0091585,0.0091585
19,372.804,1.62856,7.59082,0.46874,2.03157,2.06129,0.42057,0.66049,0.4212,0.19018,6e-05,0.00455,3e-05,1e-05,1.73389,9.48559,0.60988,1.81042,2.44132,0.009109,0.009109,0.009109
20,390.534,1.61177,7.46568,0.48069,1.98585,2.04807,0.4271,0.64446,0.43929,0.19922,0.00319,0.00769,0.00023,6e-05,1.7785,9.53065,0.58479,1.77999,2.48117,0.0090595,0.0090595,0.0090595
21,408.251,1.61245,7.59457,0.47219,2.00355,2.04696,0.35394,0.56057,0.4065,0.18241,0,0,0,0,1.79614,9.56232,0.57693,1.87688,2.47758,0.00901,0.00901,0.00901
22,426.287,1.61944,7.65966,0.47995,1.98045,2.04147,0.43061,0.60909,0.41344,0.17043,4e-05,0.00455,2e-05,0,1.89209,9.59722,0.60297,1.80665,2.61734,0.0089605,0.0089605,0.0089605
23,445.846,1.61829,7.50251,0.4697,2.00201,2.04541,0.34828,0.5757,0.37064,0.13472,7e-05,0.00455,4e-05,1e-05,2.0412,9.55637,0.59232,1.94121,2.7541,0.008911,0.008911,0.008911
24,463.447,1.57879,7.71342,0.47211,1.96509,2.00957,0.38951,0.67657,0.42184,0.16877,5e-05,0.00455,2e-05,0,1.81959,9.52178,0.5525,1.8638,2.50047,0.0088615,0.0088615,0.0088615
